ingredient_id,ingredient_name,language,category_id,category_name,subcategory_id,subcategory_name,reasoning,processed_at
99,Citrus vodka,ENG,14,Vodka,517.0,Citrus,"Citrus vodka is vodka that is flavored with citrus fruits such as lemon, lime, or orange, making 'Citrus' the most specific and accurate subcategory from the provided list. This matches both the ingre",2025-08-18T16:36:38.503423
100,Citrónge,ENG,3,Liqueur,590.0,Fruit,"Citrónge is an orange liqueur made from fresh premium oranges, giving it a distinct fruit (specifically citrus) profile. Among the available subcategories, 'Fruit' is the most specific and accurate ma",2025-08-18T16:36:51.400879
107,Coconut rum,ENG,1,Rum,537.0,"White (silver, light)","Coconut rum is typically clear or light in color, as described for both Spirited Union and Bacardi Coconut Rum, and is made by infusing white rum with coconut flavoring. It does not exhibit the amber ",2025-08-18T16:37:40.767495
109,Cofee liqueur,ENG,3,Liqueur,592.0,Coffee,"Coffee liqueur is defined by its primary flavoring ingredient: coffee. It is made by infusing alcohol with coffee beans or coffee extract, resulting in a beverage with a distinct coffee taste and arom",2025-08-18T16:37:57.875945
111,Coffee liqueur,ENG,3,Liqueur,592.0,Coffee,"Coffee liqueur is defined by its primary flavor and ingredient: coffee. It is made by infusing coffee or coffee extract with alcohol and sweeteners, resulting in a beverage with a strong, roasted coff",2025-08-18T16:38:18.357427
112,Cognac,ENG,11,Brandy,,,"Cognac is a distinct type of grape brandy produced in the Cognac region of France, with strict production regulations. None of the available subcategories—'Calvados', 'Grappa', or 'Pisco'—accurately d",2025-08-18T16:38:31.199511
113,Cointreau,ENG,3,Liqueur,590.0,Fruit,"Cointreau is a liqueur made from the distillation of sweet and bitter orange peels, resulting in a strong orange (fruit) flavor profile. Its primary ingredient and defining characteristic is fruit—spe",2025-08-18T16:38:42.447982
123,Creme de menthe,RUS,23,Ликер,595.0,Мятный,"Crème de menthe — это классический ликер на основе эфирного масла перечной мяты, обладающий ярко выраженным мятным вкусом и ароматом. Он относится к мятным ликерам, что подтверждается описаниями соста",2025-08-18T16:40:03.304439
124,Crème de banane,ENG,3,Liqueur,590.0,Fruit,"Crème de banane is a banana-flavored liqueur, with its primary flavor and character derived from bananas, which are fruit. None of the other subcategories (such as coffee, herbal and spiced, mint, cre",2025-08-18T16:40:16.433972
125,Crème de cacao,ENG,3,Liqueur,,,"Crème de cacao is a chocolate-flavored liqueur made from cacao beans or cocoa extract, not from fruit, coffee, herbs, mint, cream, berries, nuts, or honey. None of the available subcategories specific",2025-08-18T16:40:27.497009
126,Crème de cassis,ENG,3,Liqueur,600.0,Berry,"Crème de cassis is a liqueur made specifically from blackcurrants, which are a type of berry. Its dominant flavor and primary ingredient are blackcurrant berries, making 'Berry' the most specific and ",2025-08-18T16:40:38.952898
127,Crème de fraise,ENG,3,Liqueur,600.0,Berry,"Crème de fraise is a liqueur made by macerating strawberries in alcohol. Strawberries are classified botanically and culinarily as berries, making 'Berry' the most specific and accurate subcategory am",2025-08-18T16:40:52.878529
128,Crème de frambois,ENG,3,Liqueur,600.0,Berry,"Crème de frambois is a raspberry liqueur made by infusing raspberries, which are classified as berries, into alcohol. Multiple sources confirm its primary flavor and ingredient is raspberry, making 'B",2025-08-18T16:41:03.498291
129,Crème de framboise,ENG,3,Liqueur,600.0,Berry,"Crème de framboise is a raspberry liqueur made by macerating raspberries (a type of berry) in alcohol and sweetening with sugar. Its defining flavor and ingredient is raspberry, which is classified as",2025-08-18T16:41:20.938295
130,Crème de menthe,ENG,3,Liqueur,596.0,Mint,"Crème de menthe is a liqueur whose defining and primary flavor is mint, specifically peppermint or Corsican mint, with no cream or other dominant flavoring agents. The most specific and accurate subca",2025-08-18T16:41:41.007495
131,Crème de mûre,ENG,3,Liqueur,600.0,Berry,"Crème de mûre is a liqueur made specifically from blackberries, which are classified as berries. All sources confirm that the primary ingredient is blackberry, making 'Berry' the most specific and acc",2025-08-18T16:41:56.497492
132,Crème de noyaux,ENG,3,Liqueur,602.0,Nut,"Crème de noyaux is a liqueur made by infusing and distilling apricot, peach, or cherry kernels, which impart an almond-like, nutty flavor. Although the kernels are technically seeds rather than true n",2025-08-18T16:42:07.527429
133,Crème de pêche,ENG,3,Liqueur,590.0,Fruit,"Crème de pêche is a liqueur made primarily from peaches, which are a type of fruit. The ingredient lists and product descriptions consistently emphasize peach infusion or natural peach flavor as the d",2025-08-18T16:42:18.997979
134,Crème de violette,ENG,3,Liqueur,,,"Crème de violette is a liqueur made primarily from violet flowers, resulting in a distinctly floral (not fruit, berry, herbal/spiced, mint, cream, nut, honey, or coffee) flavor profile. None of the av",2025-08-18T16:42:30.980718
142,Curasao triple sec,RUS,23,Ликер,589.0,Фруктовый,"Curasao triple sec — это ликёр с выраженным вкусом и ароматом апельсина и других цитрусовых фруктов, что подтверждается описаниями состава и вкуса в источниках. Он изготавливается на основе настоев ко",2025-08-18T16:43:40.297794
143,Cynar,ENG,3,Liqueur,594.0,Herbal and Spiced,"Cynar is an Italian amaro liqueur made from artichoke leaves and a blend of 12 other herbs and botanicals, giving it a distinctly herbal and spiced character. It does not fit the other subcategories s",2025-08-18T16:43:51.159507
144,Damiana liqueur,ENG,3,Liqueur,594.0,Herbal and Spiced,"Damiana liqueur is primarily made from the damiana plant, which is a herb known for its distinctive herbal flavor and botanical properties. The liqueur is described as herbal, floral, and sometimes su",2025-08-18T16:44:01.503431
145,Dark crème de cacao,ENG,3,Liqueur,,,"Dark crème de cacao is a chocolate-flavored liqueur made from cocoa or cacao beans, not from fruit, coffee, herbs, mint, cream, berries, nuts, or honey. None of the provided subcategories specifically",2025-08-18T16:44:14.954583
146,Dark demerara rum,ENG,1,Rum,541.0,Dark (black),"Dark demerara rum is characterized by its deep, dark color and full-bodied, molasses-rich flavor profile, which aligns with the 'Dark (black)' subcategory. Sources specifically describe dark demerara ",2025-08-18T16:44:25.567137
147,Dark jamaican rum,ENG,1,Rum,541.0,Dark (black),"Dark Jamaican rum is characterized by its deep brown to nearly black color, full-bodied flavor, and is commonly referred to as 'dark' or 'black' rum in industry classification. Examples like Myers’s O",2025-08-18T16:44:37.240124
148,Dark rum,ENG,1,Rum,541.0,Dark (black),"Dark rum is specifically classified by its darker color and is often referred to as brown, black, or red rum; it is the darkest class of rums and is distinct from white (silver, light) and golden (amb",2025-08-18T16:44:54.441101
156,Drambuie,ENG,3,Liqueur,604.0,Honey,"Drambuie is a liqueur whose most defining and prominent ingredient, aside from Scotch whisky, is heather honey, which is consistently highlighted in its flavor profile and production description. Whil",2025-08-18T16:46:07.458310
173,Frangelico,ENG,3,Liqueur,602.0,Nut,"Frangelico is primarily a hazelnut liqueur, with hazelnut being the dominant and defining flavor. While it contains secondary notes of coffee, cocoa, and vanilla, its main ingredient and flavor profil",2025-08-18T16:48:35.688654
174,Freezer- citron vodka,ENG,14,Vodka,517.0,Citrus,"Freezer- citron vodka refers to a citrus-flavored vodka, specifically infused with lemon and other citrus notes, as seen in products like Absolut Citron and Grey Goose Le Citron. The most specific and",2025-08-18T16:48:46.074486
179,Fresh ginger,ENG,14,Vodka,519.0,Spiced,"Fresh ginger is primarily used in cocktails to impart a spicy, aromatic flavor profile. Among the available subcategories, 'Spiced' is the most specific and appropriate match, as it encompasses ingred",2025-08-18T16:49:28.578253
216,Galliano,ENG,3,Liqueur,594.0,Herbal and Spiced,"Galliano is a complex liqueur primarily characterized by its blend of numerous herbs and spices, including anise, juniper, lavender, peppermint, cinnamon, sage, thyme, and vanilla. Its flavor profile ",2025-08-18T16:53:44.760442
218,Gin,ENG,14,Vodka,521.0,Herbal,"Gin is a neutral spirit flavored predominantly with juniper berries and a variety of other botanicals, including herbs, seeds, roots, and fruits. The defining characteristic of gin is its herbal profi",2025-08-18T16:54:05.706060
219,Ginger,ENG,3,Liqueur,594.0,Herbal and Spiced,"Ginger is a spice, and ginger liqueurs are made by infusing spirits with ginger root to capture its bold, spicy flavor. Among the available subcategories, 'Herbal and Spiced' is the most specific and ",2025-08-18T16:54:15.913362
220,Ginger ale,ENG,6,Beer,,,"Ginger ale is a carbonated soft drink flavored with ginger and is not a type of beer or ale. None of the provided beer subcategories (such as 'Witbier', 'Pale Ale', 'Stout', etc.) accurately describe ",2025-08-18T16:54:29.665510
221,Ginger alebeer,ENG,6,Beer,,,"Ginger ale and ginger beer are both typically non-alcoholic, carbonated soft drinks flavored with ginger, and are not classified as beer styles such as those listed (e.g., Pale Ale, Stout, Witbier). N",2025-08-18T16:54:43.457242
222,Ginger beer,ENG,6,Beer,,,"None of the available subcategories (which are all traditional beer styles such as 'Witbier', 'Pale Ale', 'Stout', etc.) accurately describe ginger beer. Ginger beer is a distinct beverage, typically ",2025-08-18T16:54:58.200965
223,Ginger syrup,ENG,3,Liqueur,594.0,Herbal and Spiced,"Ginger syrup is made by infusing syrup with fresh ginger root, which is a spice. Among the available subcategories, 'Herbal and Spiced' is the most specific and accurate fit, as ginger is neither a fr",2025-08-18T16:55:09.929111
224,Ginger-infused vodka,ENG,14,Vodka,519.0,Spiced,"Ginger-infused vodka is best classified as 'Spiced' because ginger is a spice, and the infusion imparts a distinct spicy character to the vodka. None of the other subcategories (such as 'Herbal' or 'F",2025-08-18T16:55:19.912103
225,Godiva chocolate liqueur,ENG,3,Liqueur,,,"Godiva chocolate liqueur is defined by its primary flavor of chocolate, which is not represented by any of the available subcategories such as 'Fruit', 'Coffee', 'Herbal and Spiced', 'Mint', 'Cream', ",2025-08-18T16:55:30.152607
226,Godiva liqueur,ENG,3,Liqueur,,,"Godiva liqueur is primarily a chocolate-flavored liqueur, with its main flavors being milk, dark, or white chocolate. None of the available subcategories ('Fruit', 'Coffee', 'Herbal and Spiced', 'Mint",2025-08-18T16:55:49.109586
228,Gold rum,ENG,1,Rum,539.0,Golden (amber),"Gold rum is consistently described as a moderately aged rum with a golden or amber hue, often referred to as 'amber rum' in classification guides. It is distinct from white (silver, light) rum, which ",2025-08-18T16:56:07.531159
230,Goldschläger,ENG,3,Liqueur,594.0,Herbal and Spiced,"Goldschläger is a cinnamon schnapps liqueur, with its defining flavor being cinnamon spice. Among the available subcategories, 'Herbal and Spiced' is the most specific and appropriate, as cinnamon is ",2025-08-18T16:56:30.559708
231,Goldschläger cinnamon schnapps,ENG,3,Liqueur,594.0,Herbal and Spiced,"Goldschläger cinnamon schnapps is defined by its intense cinnamon flavor, which is a spice, and also features subtle black pepper notes. None of the other subcategories (Fruit, Coffee, Mint, Cream, Be",2025-08-18T16:56:57.501180
232,Grand marnier,ENG,3,Liqueur,590.0,Fruit,"Grand Marnier is an orange-flavored liqueur made from cognac and bitter orange peels, with its unique flavor derived specifically from citrus fruit (bitter orange). Among the available subcategories, ",2025-08-18T16:57:10.914064
235,Grated fresh ginger,ENG,14,Vodka,519.0,Spiced,"Grated fresh ginger is used to impart a spicy, aromatic flavor to vodka, making 'Spiced' the most specific and appropriate subcategory. None of the other subcategories (such as 'Herbal' or 'Fruit') ac",2025-08-18T16:57:45.727763
241,Green chartreuse,ENG,3,Liqueur,594.0,Herbal and Spiced,"Green Chartreuse is a liqueur made from a blend of 130 different herbs, plants, and flowers, resulting in a distinctly herbal and spiced flavor profile. Its primary characteristics are intensely herba",2025-08-18T16:58:29.660791
243,Green crème de menthe,ENG,3,Liqueur,596.0,Mint,"Green crème de menthe is a liqueur whose primary and defining flavor is mint, specifically derived from mint leaves or peppermint. Multiple sources confirm that its taste and aroma are dominated by mi",2025-08-18T16:58:45.943843
256,Ground ginger,ENG,3,Liqueur,594.0,Herbal and Spiced,"Ground ginger is a spice derived from the root of the ginger plant and is commonly used for its spicy, aromatic qualities in cocktails and liqueurs. Among the available subcategories, 'Herbal and Spic",2025-08-18T17:00:24.247995
259,Guinnes,ENG,6,Beer,455.0,Stout,"Guinness is internationally recognized as a stout, specifically an Irish stout, with its most famous products including Guinness Draught, Guinness Extra Stout, and Guinness Foreign Extra Stout all cla",2025-08-18T17:00:49.440347
260,Guinness,ENG,6,Beer,455.0,Stout,"Guinness is internationally recognized as a stout, specifically an Irish dry stout. The core and most iconic Guinness products, such as Guinness Draught and Guinness Extra Stout, are consistently clas",2025-08-18T17:01:02.997282
261,Haitian rum,ENG,1,Rum,,,"Haitian rum is a broad term that includes both white (unaged), golden (moderately aged), and dark (heavily aged) rums, as well as rhum agricole styles. Without a specific brand or color reference, the",2025-08-18T17:01:14.115621
264,Harlequin orange liqueur,ENG,3,Liqueur,590.0,Fruit,"Harlequin orange liqueur is made from a blend of aged cognac and Mediterranean oranges, with orange being the primary flavoring ingredient. Since 'Fruit' is the available subcategory that best matches",2025-08-18T17:01:34.066753
268,Herbsaint,ENG,3,Liqueur,594.0,Herbal and Spiced,"Herbsaint is an anise-flavored liqueur with pronounced herbal notes, including licorice and other botanicals, making 'Herbal and Spiced' the most specific and accurate subcategory. It does not fit the",2025-08-18T17:02:00.602495
277,Irish cream liqueur,ENG,3,Liqueur,598.0,Cream,"Irish cream liqueur is defined by its primary ingredient: dairy cream, combined with Irish whiskey and other flavorings. The defining characteristic and namesake of this liqueur is the cream content, ",2025-08-18T17:03:01.329020
278,Irish mist liqueur,ENG,3,Liqueur,604.0,Honey,"Irish Mist liqueur is primarily characterized by its blend of Irish whiskey and honey, with honey being the dominant flavor and ingredient, as consistently described in multiple sources. While it also",2025-08-18T17:03:11.362978
279,Irish whiskey,ENG,11,Brandy,,,"Irish whiskey is a type of whiskey made from grain and produced in Ireland, whereas the available subcategories—'Calvados', 'Grappa', and 'Pisco'—are all types of brandy made from apples, grape pomace",2025-08-18T17:03:23.141687
281,Jamaican ginger beer,ENG,6,Beer,,,"Jamaican ginger beer is a flavoured malt beverage brewed with ginger, but it does not fit any of the listed beer subcategories, which are all traditional styles of ale or stout and do not include ging",2025-08-18T17:03:40.330862
282,Jamaican rum,ENG,1,Rum,,,"Jamaican rum is a style defined by its origin and production methods, not by color. It can be white, golden, or dark, depending on aging and blending. The available subcategories ('White (silver, ligh",2025-08-18T17:03:49.608707
287,Keke beach lime liqueur,ENG,3,Liqueur,598.0,Cream,"Keke beach lime liqueur is consistently described as a cream liqueur with a creamy texture and flavor profile reminiscent of key lime pie, indicating that 'Cream' is the most specific and accurate sub",2025-08-18T17:04:20.787768
288,Kentucky bourbon,ENG,11,Brandy,,,"Kentucky bourbon is a type of whiskey, specifically bourbon, and is not a brandy. The available subcategories—'Calvados', 'Grappa', and 'Pisco'—are all types of brandy, which are distilled from fruit ",2025-08-18T17:04:31.317842
292,Lager,ENG,6,Beer,,,"Lager is a broad category of beer defined by its cold fermentation process and includes many distinct styles such as Pilsner, Helles, Vienna Lager, and others. None of the provided subcategories are t",2025-08-18T17:04:55.099936
298,Lemon-flavored vodka,ENG,14,Vodka,517.0,Citrus,"Lemon-flavored vodka is most specifically characterized by its citrus flavor profile, as lemon is a citrus fruit. Among the available subcategories, 'Citrus' directly matches the defining flavor of th",2025-08-18T17:05:33.085788
303,Light puerto rican rum,ENG,1,Rum,537.0,"White (silver, light)","Light Puerto Rican rum is most commonly classified as a 'white' or 'silver' rum due to its clear appearance and mild flavor profile. The majority of light rums, especially those from Puerto Rico, are ",2025-08-18T17:06:05.242169
304,Light rum,ENG,1,Rum,537.0,"White (silver, light)","Light rum is also referred to as 'white' or 'silver' rum due to its clear, colorless appearance and lighter flavor profile. Multiple sources confirm that 'light rum' is synonymous with 'white' or 'sil",2025-08-18T17:06:16.403640
313,Limoncello liqueur,ENG,3,Liqueur,590.0,Fruit,"Limoncello liqueur is made primarily from lemon zest, which is a fruit ingredient. Its defining flavor is intensely fruity and citrus, derived from lemons, and it does not contain coffee, herbs, spice",2025-08-18T17:07:17.121218
