ingredient_id,ingredient_name,language,is_alcoholic,old_category_id,new_category_id,category_name,description,reasoning,processed_at
12,Amaretto,ENG,False,8.0,9.0,Other alcohol,"Amaretto is an Italian almond-flavored liqueur, traditionally made from bitter almonds or apricot kernels. It is known for its sweet, nutty taste with a subtle bitterness, and is commonly used in cocktails such as the Amaretto Sour and Amaretto Spritz. Amaretto typically contains around 28% alcohol by volume, making it a versatile ingredient for both mixed drinks and dessert cocktails.","Amaretto is a liqueur containing alcohol, but does not fit into standard spirit categories like whiskey or rum. The most appropriate category from the provided list is 'Other alcohol', as it encompass",2025-08-18T16:21:56.126928
13,Amer picon,ENG,True,3.0,3.0,Liqueur,"Amer Picon is a French bitter orange liqueur flavored with orange peel, gentian root, and quinquina, originally created in 1837. It is bittersweet, with pronounced citrus and herbal notes, and is commonly used as an aperitif or in classic cocktails such as the Picon Punch and Brooklyn. Its alcohol content is typically around 21% ABV.","Amer Picon is classified as a liqueur because it is a sweetened, flavored alcoholic beverage made by infusing neutral spirit with botanicals and sugar, fitting the definition of 'Liqueur' rather than ",2025-08-18T16:22:03.609746
14,Angostura,ENG,False,9.0,5.0,Other not alcohol,"Angostura is a highly concentrated aromatic bitters made from a blend of herbs, spices, and botanicals. Used in small quantities, it adds complexity and depth to cocktails and non-alcoholic drinks, enhancing flavors without contributing significant alcohol content. Essential in classic cocktails, Angostura bitters is a staple for bartenders seeking to balance and intensify drink profiles.","Although Angostura bitters contains alcohol, it is used in such small amounts as a flavoring agent that it is generally classified as a non-alcoholic ingredient for cocktail purposes. None of the othe",2025-08-18T16:22:20.156215
15,Angostura bitter,ENG,True,9.0,3.0,Liqueur,"Angostura bitters is a highly concentrated, aromatic alcoholic preparation made from gentian, herbs, and spices, with an alcohol content of 44.7% ABV. Used in small dashes, it adds complexity and balance to classic cocktails such as the Old Fashioned and Manhattan. Its intense flavor and high alcohol content make it an essential seasoning ingredient for bartenders.","Although Angostura bitters is not consumed as a standalone spirit, it is an alcoholic herbal infusion used to flavor drinks, fitting best under 'Liqueur' among the available categories. It is not a ru",2025-08-18T16:22:26.379129
16,Angostura bitters,ENG,True,9.0,3.0,Liqueur,"Angostura bitters is a highly concentrated, aromatic bitters made from a blend of herbs, spices, and botanicals in a high-proof alcohol base. With an ABV of 44.7%, it is used in small dashes to add complexity and balance to cocktails such as the Old Fashioned and Manhattan. Its intense flavor profile makes it an essential seasoning for both classic and modern drinks.","While Angostura bitters is not a traditional liqueur, it is an alcoholic herbal preparation used for flavoring, and 'Liqueur' is the closest available category among the provided options. Bitters are ",2025-08-18T16:22:39.800302
17,Anisette,ENG,True,3.0,3.0,Liqueur,"Anisette is a clear, sweet liqueur flavored primarily with aniseed, giving it a distinct licorice-like taste. Popular in Mediterranean countries, it is typically enjoyed neat, over ice, or as a cocktail ingredient to impart a pronounced anise flavor. Its high sugar content differentiates it from drier anise spirits like absinthe.","Anisette is specifically described as an anise-flavored liqueur, containing sugar and intended for use in cocktails or as a standalone drink. This matches the 'Liqueur' category, as it is not a base s",2025-08-18T16:22:55.073424
18,Apple,ENG,False,10.0,10.0,Fruits,"Apple is a versatile fruit used in cocktails for its sweet, tart, and crisp flavors. Bartenders often muddle fresh apple slices, use apple juice, or garnish drinks with apple wedges to add freshness and complexity. The choice of apple variety—such as Granny Smith for tartness or Honeycrisp for balanced sweetness—can significantly influence the cocktail's flavor profile.","Apple is a whole fruit and is most commonly used in cocktails in its fresh form, as slices, muddled pieces, or juice. The category 'Fruits' is the most accurate, as it directly describes the ingredien",2025-08-18T16:23:11.471243
19,Apple brandy,ENG,True,11.0,11.0,Brandy,"Apple brandy is a distilled spirit made from fermented apple juice or cider, offering a smooth, fruity, and sometimes spicy flavor profile. It is commonly used in cocktails to add depth and a distinctive apple character, and can be substituted for other brandies or even whiskey in many recipes. Apple brandy includes styles such as Calvados from France and American applejack, each with unique flavor nuances.","Apple brandy is defined as a type of brandy made from apples, not grapes, and is distinct from liqueurs or other spirits. It is specifically described as a brandy in multiple sources and fits the 'Bra",2025-08-18T16:23:18.329713
20,Apple cider,ENG,True,12.0,12.0,Wine,"Apple cider is a fermented alcoholic beverage made from the juice of pressed apples. It is typically unfiltered and can range from still to sparkling, with a crisp, fruity flavor profile that works well in autumn-inspired cocktails. Bartenders use apple cider as a mixer or base ingredient, especially in spiked or mulled drinks.","Among the available categories, 'Wine' is the most appropriate because apple cider is a fermented fruit beverage, similar in production and alcohol content to wine, and does not fit into the other cat",2025-08-18T16:23:31.189027
21,Apple juice,ENG,False,13.0,13.0,Juice,"Apple juice is a non-alcoholic beverage made by extracting the liquid from apples. It is commonly used in cocktails for its sweet, crisp, and slightly tart flavor, which pairs well with a variety of spirits and mixers. Both clear and cloudy apple juices are popular in bartending, offering versatility for different drink styles.","Apple juice is a liquid extracted from fruit and is widely recognized as a type of juice, making 'Juice' the most accurate category. It is not a syrup, lemonade, or fruit in whole form, and does not f",2025-08-18T16:23:41.181625
22,Apple peel,ENG,False,10.0,10.0,Fruits,"Apple peel is the outer skin of the apple, often used to infuse subtle fruity notes and natural sweetness into cocktails, teas, and syrups. It contains aromatic compounds and antioxidants, making it a flavorful and eco-friendly ingredient for garnishes or infusions. Bartenders can use apple peel to add complexity and a hint of apple essence without overpowering other flavors.","Apple peel is derived directly from apples, which are classified as fruits. It is not a juice, syrup, vegetable, or beverage, but rather a fruit-based ingredient commonly used for infusions and garnis",2025-08-18T16:23:52.654679
23,Apple purée,ENG,False,10.0,10.0,Fruits,"Apple purée is a smooth blend of cooked or raw apples, often used to add natural sweetness, texture, and fresh apple flavor to cocktails. It can be made from various apple varieties and may be used alone or as a base for syrups and infusions. Bartenders use apple purée to create vibrant, fruit-forward drinks and to enhance both alcoholic and non-alcoholic recipes.","Apple purée is fundamentally a fruit preparation, consisting primarily of apples that have been blended or mashed into a smooth consistency. While it can be incorporated into syrups or other products,",2025-08-18T16:24:01.047725
24,Apple schnapps,ENG,True,14.0,3.0,Liqueur,"Apple schnapps is a fruit-flavored liqueur made by infusing neutral spirits with apple extracts or juice, resulting in a sweet, crisp, and vibrant apple profile. It typically ranges from 20% to 40% ABV and is used to add fruity character to cocktails, shots, or desserts. Its smooth texture and balanced sweetness make it a versatile choice for both mixing and sipping.","Apple schnapps is classified as a liqueur because it is a spirit flavored with apples and sweetened, fitting the definition of a liqueur rather than a base spirit like rum, vodka, or brandy. Multiple ",2025-08-18T16:24:06.353609
25,Applejack,ENG,True,11.0,11.0,Brandy,"Applejack is an American apple brandy, traditionally made by distilling fermented apple cider. It has a robust apple flavor and is commonly used as a base spirit in classic cocktails like the Jack Rose and Applejack Old Fashioned. Modern applejack may be a blend of apple brandy and neutral spirits, but it remains distinct from sweet apple liqueurs.","Applejack is classified as an apple brandy, produced by distilling apples, and is recognized by U.S. standards as a type of brandy. It is not a liqueur, rum, or vodka, and fits best under the 'Brandy'",2025-08-18T16:24:18.988357
26,Apricot brandy,ENG,True,11.0,11.0,Brandy,"Apricot brandy is an alcoholic spirit made by distilling fermented apricots or by infusing brandy with apricot flavor. It typically features a sweet, fruity profile and is enjoyed neat, as a digestif, or used in cocktails to add rich apricot notes. Alcohol content varies, but it is generally bottled between 24% and 40% ABV.","Apricot brandy is most accurately categorized as 'Brandy' because it is either distilled directly from apricots or made by infusing brandy with apricot flavor, as confirmed by regulatory definitions a",2025-08-18T16:24:30.560523
27,Apricot liqueur,ENG,True,3.0,3.0,Liqueur,"Apricot liqueur is a sweet, fruit-forward liqueur made by infusing ripe apricots in neutral spirits and sweetening the resulting infusion. It typically has an alcohol content ranging from 15% to 30% ABV and is valued for its rich apricot flavor and versatility in cocktails. Bartenders use it to add depth and a distinct fruity note to both classic and modern drinks.","Apricot liqueur is produced by steeping apricots in alcohol and sweetening the mixture, which classifies it as a liqueur rather than a spirit like brandy or rum. This is supported by multiple sources ",2025-08-18T16:24:44.985598
28,Apricot nectar,ENG,False,10.0,13.0,Juice,"Apricot nectar is a sweet, thick fruit juice made from pureed apricots, often blended with water and sometimes sugar to balance its natural tartness. It has a vibrant orange color and a rich, intensely apricot flavor, making it ideal for use in cocktails, mocktails, and as a mixer. Its smooth texture and concentrated fruit taste add depth and body to a wide range of drinks.","Apricot nectar is fundamentally a fruit juice product, created by pureeing apricots and diluting with water, sometimes with added sugar. It is not a syrup, whole fruit, or a general non-alcoholic ingr",2025-08-18T16:25:05.510242
29,Apricot purée,ENG,False,10.0,5.0,Other not alcohol,"Apricot purée is a smooth, non-alcoholic blend made from fresh or cooked apricots, sometimes sweetened or flavored with spices. It provides a rich, fruity base for cocktails, adding natural sweetness, vibrant color, and authentic apricot flavor. Bartenders use it to enhance both alcoholic and non-alcoholic drinks where a true fruit purée texture and taste are desired.","Apricot purée is not a juice, syrup, or whole fruit, but a processed fruit product used as a cocktail ingredient. It does not fit the 'Juice' or 'Syrup' categories, nor is it simply 'Fruits' in its ra",2025-08-18T16:25:15.078351
30,Avocado,ENG,False,15.0,15.0,Vegetables,"Avocado is a creamy, nutrient-rich ingredient commonly used in cocktails for its smooth texture and subtle, earthy flavor. It blends well with fruits, juices, and spirits, adding body and a unique mouthfeel to drinks. Bartenders often use ripe avocado to create visually appealing and innovative cocktails.","While avocado is botanically a fruit, in culinary and bartending contexts it is often categorized as a vegetable due to its savory profile and usage. Among the provided categories, 'Vegetables' is the",2025-08-18T16:25:21.254600
31,Bacardi light,ENG,True,1.0,1.0,Rum,"Bacardi Light, also known as Bacardi Superior, is a light-bodied white rum with subtle notes of almonds, lime, and vanilla. It is 80 proof (40% ABV), smooth, and clean, making it a versatile base for classic cocktails such as the Mojito, Daiquiri, and Cuba Libre. Its mild flavor profile is ideal for drinks where a delicate rum character is desired.","Bacardi Light is consistently described as a light or white rum, specifically Bacardi Superior, and is not a liqueur, absinthe, beer, brandy, wine, or vodka. The most appropriate category is 'Rum' bas",2025-08-18T16:25:26.221880
32,Baileys irish cream,ENG,False,16.0,9.0,Other alcohol,"Baileys Irish Cream is a popular cream liqueur made from Irish whiskey, fresh dairy cream, cocoa, and vanilla flavors. It contains 17% alcohol by volume and is widely used in cocktails, coffee drinks, and desserts for its smooth, sweet, and creamy profile. Bartenders value Baileys for its versatility and ability to add richness and flavor to both hot and cold beverages.","Baileys Irish Cream contains alcohol (Irish whiskey) as a primary ingredient, making it an alcoholic beverage. None of the non-alcoholic categories are appropriate, so 'Other alcohol' is the most accu",2025-08-18T16:25:37.095383
33,Banana,ENG,False,10.0,10.0,Fruits,"Banana is a sweet, creamy fruit commonly used in cocktails for its natural flavor and smooth texture. It can be added fresh, blended, or as a garnish, and is also used to make banana purees and syrups for both alcoholic and non-alcoholic drinks. Its versatility makes it a popular choice for tropical and dessert-style beverages.","Banana is botanically a fruit and is used in cocktails in its fresh form, as a puree, or as a syrup. The most appropriate category from the provided list is 'Fruits', as this directly matches the ingr",2025-08-18T16:25:46.167068
34,Banana liqueur,ENG,True,16.0,3.0,Liqueur,"Banana liqueur, also known as crème de banane, is a sweet, banana-flavored liqueur made by infusing or macerating ripe bananas in neutral alcohol and sweetening the mixture. It is commonly used to add a rich, tropical banana flavor to cocktails and is available in both clear and yellow varieties. Banana liqueur is a staple in tropical and dessert-style drinks.","Banana liqueur is classified as a liqueur because it is a sweetened, flavored alcoholic beverage made by infusing bananas in neutral spirits or rum, and does not fit into any other provided categories",2025-08-18T16:25:53.556736
35,Banana purée,ENG,False,10.0,10.0,Fruits,"Banana purée is a thick, smooth blend made from ripe bananas, often used to add natural sweetness, creamy texture, and authentic banana flavor to cocktails. It is ideal for tropical and dessert-style drinks, blending easily with both alcoholic and non-alcoholic ingredients. Bartenders use banana purée to achieve a consistent banana taste and mouthfeel in beverages.","Banana purée is made primarily from real bananas and is used as a fruit ingredient in cocktails, not as a syrup or juice. While some commercial products may be labeled as 'banana purée syrup,' the cor",2025-08-18T16:26:07.536685
36,Beaujolais,ENG,True,12.0,12.0,Wine,"Beaujolais is a light-bodied, fruity red wine from the Beaujolais region of France, made primarily from the Gamay grape. Its fresh acidity and vibrant red fruit flavors make it a popular choice for wine-based cocktails, especially those requiring a lighter, more refreshing red wine profile. Bartenders often use Beaujolais in drinks like the Communard or Nouveau Sangaree for its versatility and approachable style.","Beaujolais is consistently described in cocktail recipes as a type of red wine, specifically noted for its light and fruity character. It is not a spirit, liqueur, or beer, but a varietal of wine, mak",2025-08-18T16:26:13.857030
37,Beer,ENG,True,6.0,6.0,Beer,"Beer is a fermented alcoholic beverage made primarily from barley or other grains and flavored with hops. It typically has an alcohol by volume (ABV) ranging from 4% to 8%, though some styles may be stronger. Beer is commonly used in cocktails for its effervescence, flavor, and ability to add complexity to mixed drinks.","Beer is classified as a fermented beverage made from grain mash, distinct from spirits, wine, or liqueurs. The available category 'Beer' directly matches the ingredient, making it the most appropriate",2025-08-18T16:26:25.684001
38,Bitter lemon,RUS,True,17.0,23.0,Ликер,"Биттер лимон — это крепкий алкогольный напиток с выраженным горько-лимонным вкусом, получаемый мацерацией лимонной цедры и пряностей на спиртовой основе. Крепость обычно составляет 30–40%, напиток используется как дижестив или компонент коктейлей, придавая им цитрусовую свежесть и характерную горчинку. Отличается сложным ароматом с нотами лимона, кориандра и кардамона.","Биттер лимон относится к категории крепких алкогольных настоек с горьким вкусом, которые по российской классификации часто включают в группу ликёров, поскольку отдельной категории для биттеров в списк",2025-08-18T16:26:34.753299
39,Bitter orange,RUS,True,17.0,23.0,Ликер,"Bitter orange — это апельсиновый ликер с характерным горьковато-цитрусовым вкусом, получаемый путем настаивания апельсиновой цедры на спирте с добавлением сахара. Используется как ингредиент в классических и авторских коктейлях для придания напиткам глубины и свежести. Отличается ярким ароматом и часто применяется в качестве дижестива.","Bitter orange относится к категории апельсиновых ликеров, которые изготавливаются на основе спирта и апельсиновой цедры, что подтверждается описаниями технологии производства и использования в коктейл",2025-08-18T16:26:48.919410
40,Bittersweet chocolate shavings,ENG,True,5.0,3.0,Liqueur,"Bittersweet chocolate shavings are a garnish made from high-cocoa-content chocolate, typically used to add a rich, slightly bitter chocolate flavor and an elegant visual accent to cocktails. While not alcoholic themselves, they are most often paired with chocolate liqueurs or dessert-style drinks to enhance both aroma and presentation. Bartenders use them to complement cocktails like the Chocolate Martini or Brandy Alexander.","None of the available categories directly match a solid chocolate garnish, but 'Liqueur' is the most appropriate because bittersweet chocolate shavings are almost exclusively used in conjunction with ",2025-08-18T16:27:08.441485
41,Black currant vodka,ENG,True,14.0,14.0,Vodka,"Black currant vodka is a flavored vodka made by infusing vodka with natural black currant essence or macerated black currants. It typically features a smooth, slightly tart, and fruity profile with deep berry notes, making it ideal for sipping chilled, serving as a shot, or mixing in cocktails. Alcohol content usually ranges from 30% to 40% ABV, depending on the brand.","Black currant vodka is classified as a flavored vodka, produced by infusing standard vodka with black currant flavor or essence. Multiple sources confirm it is not a liqueur (which would require added",2025-08-18T16:27:19.090706
42,Black olive,ENG,False,15.0,15.0,Vegetables,"Black olives are brined, ripened fruits commonly used as a garnish in cocktails, especially martinis. They add a distinctive salty, umami flavor and a visually striking dark color to drinks. Their soft texture and rich taste make them a versatile ingredient for both classic and creative cocktail presentations.","Although botanically a fruit, olives are universally classified as vegetables in culinary and bartending contexts. Among the available categories, 'Vegetables' is the most appropriate for black olives",2025-08-18T16:27:29.434207
43,Black sambuca,ENG,True,14.0,3.0,Liqueur,"Black sambuca is a sweet, intensely flavored Italian liqueur known for its rich anise and licorice notes, often enhanced with elderberry. Its deep color and bold taste make it a popular choice for adding complexity and visual appeal to cocktails. It is typically enjoyed neat, on the rocks, or as a distinctive cocktail ingredient.","Black sambuca is classified as a liqueur due to its sweetened, flavored spirit base and relatively high sugar content, as confirmed by multiple sources describing it as an Italian liqueur with a prono",2025-08-18T16:27:37.825254
44,Black-currant nectar,ENG,False,13.0,13.0,Juice,"Black-currant nectar is a non-alcoholic beverage made by pressing or blending black currants to extract their rich, tart juice, often with added water or sweetener for balance. It delivers a deep purple color and a bold, fruity flavor profile, making it ideal for adding complexity and vibrant color to cocktails. Bartenders use black-currant nectar as a mixer to impart natural sweetness and tang to both alcoholic and non-alcoholic drinks.","Black-currant nectar is produced by extracting the liquid from black currants, similar to other fruit juices, and is commonly used as a mixer in cocktails. It is not a syrup, lemonade, or whole fruit,",2025-08-18T16:27:49.647467
45,Blackberry brandy,ENG,True,11.0,11.0,Brandy,"Blackberry brandy is a fruit-flavored spirit made by blending brandy with natural blackberry flavors and sweeteners. It typically features a rich, sweet, and aromatic profile, making it suitable for sipping neat, over ice, or as a flavorful addition to cocktails and desserts. Alcohol content is usually around 35% ABV, offering both boldness and smoothness.","Blackberry brandy is produced by infusing or blending brandy with blackberry juice and sugar, resulting in a flavored brandy rather than a liqueur or other spirit type. The base spirit is brandy, and ",2025-08-18T16:27:55.351380
46,Blanco rum,ENG,True,1.0,1.0,Rum,"Blanco rum, also known as white or silver rum, is a clear, light-bodied spirit made primarily from sugarcane byproducts such as molasses or cane juice. It is typically unaged or only briefly aged and then filtered to maintain its clarity, resulting in a clean, mildly sweet flavor profile ideal for cocktails like the Mojito and Daiquiri. Its versatility and subtle character make it a staple in many classic and tropical mixed drinks.","Blanco rum is a type of rum, specifically the clear, unaged or minimally aged style, and is not a liqueur, absinthe, beer, brandy, wine, or vodka. The defining characteristics and production methods a",2025-08-18T16:28:05.566277
47,Blended american whiskey,ENG,True,18.0,0.0,None of the above,"Blended American whiskey is a spirit made by mixing straight American whiskeys with neutral spirits or other whiskeys, resulting in a lighter and more approachable flavor profile compared to straight whiskey. It typically contains at least 20% straight whiskey, with the remainder being neutral spirits or other blends. This style is commonly used in cocktails where a milder whiskey character is desired.","None of the provided categories (Rum, Liqueur, Absinthe, Beer, Brandy, Wine, Vodka) match whiskey or its subtypes. Blended American whiskey is a type of whiskey, which is not represented in the availa",2025-08-18T16:28:18.757226
48,Blended canadian whisky,ENG,True,18.0,11.0,Brandy,"Blended Canadian whisky is a type of whisky produced in Canada by blending different grain whiskies, often with a lighter base whisky and a more flavorful component. Known for its smooth, approachable character and subtle rye spice, it is commonly used in classic cocktails such as the Old Fashioned and Whisky Sour. Its versatility and balanced flavor profile make it a staple in many bars.","None of the provided categories specifically list 'Whisky' or 'Whiskey.' Among the available options, 'Brandy' (ID 11) is the closest distilled spirit category, as both brandy and whisky are aged, bar",2025-08-18T16:28:29.010268
49,Blended scotch,ENG,True,18.0,0.0,None of the provided categories match,"Blended scotch is a type of whisky produced in Scotland by blending single malt and single grain whiskies from multiple distilleries. It is the most common style of Scotch whisky, known for its balanced and approachable flavor profile, making it ideal for both sipping and mixing in cocktails. Popular brands include Johnnie Walker, Chivas Regal, and Dewar's.","Blended scotch is a whisky, specifically Scotch whisky, and none of the provided categories (Rum, Liqueur, Absinthe, Beer, Brandy, Wine, Vodka) accurately represent this spirit. Scotch is a distinct c",2025-08-18T16:28:38.247006
50,Blended whiskey,ENG,True,18.0,0.0,None of the provided categories match,"Blended whiskey is a type of distilled spirit made by mixing different whiskeys, often from multiple distilleries, to achieve a balanced and consistent flavor profile. It can include a combination of malt and grain whiskeys and is commonly used in cocktails for its smoothness and versatility. Popular examples include Johnnie Walker and Chivas Regal.","Blended whiskey is a distilled spirit, specifically a whiskey, and does not fit into any of the provided categories such as 'Rum', 'Liqueur', 'Absinthe', 'Beer', 'Brandy', 'Wine', or 'Vodka'. Whiskey ",2025-08-18T16:28:45.107045
51,Blue curaçao,ENG,True,3.0,3.0,Liqueur,"Blue curaçao is a vibrant blue, orange-flavored liqueur made from the dried peels of Laraha oranges native to Curaçao. It is known for its sweet, slightly bitter citrus taste and is commonly used to add both color and flavor to cocktails such as the Blue Hawaii and Electric Lemonade. The blue color is achieved with food coloring and does not affect the flavor.","Blue curaçao is classified as a liqueur because it is a sweet, flavored alcoholic beverage made by infusing spirits with orange peels and sugar, fitting the definition of 'Liqueur' rather than any oth",2025-08-18T16:28:51.610632
52,Boiling water,ENG,False,19.0,5.0,Other not alcohol,"Boiling water is a versatile non-alcoholic ingredient used in many cocktails, especially hot drinks like toddies, punches, and grogs. It serves as a base for dissolving sugars, infusing flavors, and warming ingredients, making it essential for winter and comfort cocktails. Bartenders use boiling water to create smooth, well-blended hot beverages and to extract flavors from spices, teas, or other mix-ins.","Boiling water is not an alcoholic ingredient, nor does it fit categories like juice, syrup, coffee, fruits, vegetables, or lemonade. It is a general non-alcoholic mixer and base, so 'Other not alcohol",2025-08-18T16:29:03.641042
53,Bombay sapphire gin,ENG,True,20.0,0.0,Gin,"Bombay Sapphire Gin is a renowned London Dry Gin, celebrated for its distinctive blue bottle and vapor-infusion process. It features a blend of 10 botanicals, including juniper, coriander, and citrus, resulting in a balanced, aromatic spirit ideal for classic and contemporary cocktails.","Bombay Sapphire is unequivocally a gin, as confirmed by multiple sources. However, 'Gin' is not listed among the available categories, and none of the provided categories (Rum, Liqueur, Absinthe, Beer",2025-08-18T16:29:11.593574
54,Bourbon,ENG,True,18.0,11.0,Brandy,"Bourbon is a type of American whiskey made primarily from at least 51% corn and aged in new, charred oak barrels. Known for its rich, sweet, and full-bodied flavor profile, bourbon is a staple in classic cocktails such as the Old Fashioned and the Manhattan. It is legally defined and must be produced in the United States to be labeled as bourbon.","While bourbon is technically a whiskey, the provided categories do not include 'Whiskey.' The closest available category is 'Brandy,' which, like whiskey, is a distilled spirit made from fermented gra",2025-08-18T16:29:24.837016
55,Box cranberry gelatin,ENG,False,21.0,5.0,Other not alcohol,"Box cranberry gelatin is a commercially prepared, flavored gelatin dessert mix with cranberry flavor and color. It is typically sold in powdered form and sets into a firm, jiggly texture when mixed with hot water and chilled. Bartenders may use it to create visually appealing, cranberry-flavored jello shots or layered desserts.","Box cranberry gelatin is not a juice, syrup, fruit, or vegetable, nor does it fit the other categories provided. It is a processed, non-alcoholic ingredient used primarily for its texture and flavor i",2025-08-18T16:29:34.982284
